clean_name,Main Headquaters,Campaign,Description,Involvement,Sub-Category,Big-Category
Ackerstein Industries,Israel,whoprofits.org,"The Israel-based company manufactures paving stones, concrete walls, roof tiles and other products for the construction industry.
","Israeli Construction on Occupied Land, Private Security and Surveillance Technology, Specialized Equipment and Services, The Wall and Checkpoints",Construction,Manufacturing & Industrial
Actavis Generics,Germany,boycott-israel.org,"Actavis Generics, acquired by Teva Pharmaceutical Industries in 2016, was a global leader in generic pharmaceuticals, specializing in the development and manufacture of affordable medications. This integration bolstered Teva's generic product portfolio and global market presence.",Acquired by Teva,Pharmaceutical and Medicine,Other
Adafresh,Israel,whoprofits.org,"A private Israeli exporter of agricultural, including certified organic, produce.

The company has a fully owned subsidiary in t","Services to the Settlements, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Adama,China,whoprofits.org,"A publicly traded China-based global crop protection company.

Crop protection products manufactured by the company&rsquo;s Isra",Services to the Settlements,Agriculture and Agrotechnology,Agriculture & Food
Adanim Tea Mpany (1991),Israel,whoprofits.org,"A private Israeli manufacturer of organic teas.

The company uses organic herbs from the occupied Jordan valley for the production",Exploitation of Occupied Production and Resources,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Aegon,Netherlands,DBIO_investor_report,"Dutch multinational life insurance, pensions and asset management company","Bondholding, Shareholding",Pension Fund,Finance & Insurance
Aeronautics,Israel,whoprofits.org,"An Israeli company that develop, manufactures and markets Unmanned Aerial vehicles (UAV) and aerial intelligence and surveillance ","Settlement Production, Specialized Equipment and Services","Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Aerovironment,USA,afsc.org-profiting,"AeroVironment is a military drone manufacturer headquartered in Arlington, Virginia.",Provided Israel with Kamikaze drones,Defense,Defense & Security
Afn Holdings,Israel,whoprofits.org,"The group engages in the design, manufacture, integration and marketing of electro-mechanical and control systems.

The company ","Private Security and Surveillance Technology, Services to the Settlements, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Afek Oil And Gaz,Israel,whoprofits.org,"An Israeli oil and gas exploration company (previously named Genie Israel Oil and Gas).

On 21 February 2013, the oil council of",Exploitation of Occupied Production and Resources,"Electricity, Gas and Water Supply",Energy & Utilities
Afic Printing Products,"Israel, Occupied Syrian Golan",whoprofits.org,Largest Israeli printing solutions company. The company manufactures and recycles products such as printer ink cartridges and is a,Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Afikim Public Transportation,Israel,UN_Report,Public transportation company operating in Israel,Services and utilities supporting the maintenance and existence of settlements,Transportation,Transportation & Travel
Afimilk Agricultural Operative,Israel,whoprofits.org,"Develops, manufactures and markets computerized systems for dairy farms and herd management.

In 2008, the company erected a lar",Services to the Settlements,Agriculture and Agrotechnology,Agriculture & Food
Africa Israel Investments,Israel,whoprofits.org,"A holdings and investment company active in real estate, construction and infrastructure, industry and hotels.

The company&#39;",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Agilite,Israel,afsc.org-profiting,Agilite is an Israeli company that designs and manufactures tactical gear and equipment.,Supplies tactical gear to Israeli military and police forces,Defense,Defense & Security
Agrex Carmel Agricultural Export Mpany,Israel,whoprofits.org,"A private Israeli exporter of agricultural produce, marketing vegetables, fruits, flowers, propagating materials and herbs.

The","Palestinian Captive Market, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Agrifood Marketing,Israel,whoprofits.org,"A private Israeli company that grows and exports organic dates under the brand name &ldquo;Star Dates&rdquo;.

The company&rsquo",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Agrofresh Pro,Israel,whoprofits.org,"The company provides solutions for individual organic growers.

The companyís packages were found in the†Naíaran†settlementís pack",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Agrotop,Israel,whoprofits.org,"A private Israel-based global company specializing in livestock and agro-construction projects.

In 2012, Agrotop&#39;s parent c","Israeli Construction on Occupied Land, Services to the Settlements",Construction,Manufacturing & Industrial
Ahava,"Israel, Israel, Israel","bdsmovement.net, boycott-israel.org, ethicalconsumer.org","Ahava has its production site in an illegal Israeli settlement.
Manufactures cosmetic products using minerals from the Dead Sea. The company's production site, visitor center and main store are located in the Mitzpe Shalem settlement in the occupied Jordan Valley.
Manufactures skincare products using minerals from the Dead Sea. Ahava Dead Sea Laboratories engages in the development, production and marketing of cosmetic products based on minerals extracted , Ahava has its production site in an illegal Israeli settlement.
Manufactures cosmetic products using minerals from the Dead Sea. The company's production site, visitor center and main store are located in the Mitzpe Shalem settlement in the occupied Jordan Valley.
Manufactures skincare products using minerals from the Dead Sea. Ahava Dead Sea Laboratories engages in the development, production and marketing of cosmetic products based on minerals extracted , Ahava has its production site in an illegal Israeli settlement.
Manufactures cosmetic products using minerals from the Dead Sea. The company's production site, visitor center and main store are located in the Mitzpe Shalem settlement in the occupied Jordan Valley.
Manufactures skincare products using minerals from the Dead Sea. Ahava Dead Sea Laboratories engages in the development, production and marketing of cosmetic products based on minerals extracted ","Manufacturing, Settlement Support
Production site in occupied Jordan Valley
Involved in illegal Israeli settlements on Palestinian land.
Exploitation of Occupied Production and Resources, Settlement Production, Manufacturing, Settlement Support
Production site in occupied Jordan Valley
Involved in illegal Israeli settlements on Palestinian land.
Exploitation of Occupied Production and Resources, Settlement Production, Manufacturing, Settlement Support
Production site in occupied Jordan Valley
Involved in illegal Israeli settlements on Palestinian land.
Exploitation of Occupied Production and Resources, Settlement Production","Industrial Manufacturing, Cosmetics, Skincare, Industrial Manufacturing, Cosmetics, Skincare, Industrial Manufacturing, Cosmetics, Skincare",Manufacturing & Industrial
Ahava Dead Sea Laboratories,Israel,whoprofits.org,"Ahava has its production site in an illegal Israeli settlement.
Manufactures cosmetic products using minerals from the Dead Sea. The company's production site, visitor center and main store are located in the Mitzpe Shalem settlement in the occupied Jordan Valley.
Manufactures skincare products using minerals from the Dead Sea. Ahava Dead Sea Laboratories engages in the development, production and marketing of cosmetic products based on minerals extracted ","Manufacturing, Settlement Support
Production site in occupied Jordan Valley
Involved in illegal Israeli settlements on Palestinian land.
Exploitation of Occupied Production and Resources, Settlement Production","Industrial Manufacturing, Cosmetics, Skincare",Manufacturing & Industrial
Ahuzat Adi Nstruction Mpany,Israel,whoprofits.org,"A private construction company.

The company is involved in several construction projects in Maaleh Adumim. The project is part ",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Aimpoint Ab,Sweden,afsc.org-profiting,Aimpoint AB is a Swedish optics company that specializes in red dot sights and other aiming devices.,Supplies optics and aiming devices to Israeli military,Defense,Defense & Security
Air Transport Services Group,USA,afsc.org-Divestment,"A US air cargo and transportation company, which operates charter deportation flights for the US government","Borders, Prisons",Transportation,Transportation & Travel
"Airbnb,","USA, United States, United States, United States, United States, USA","bdsmovement.net, boycott-israel.org, DBIO_Listed_Business, ethicalconsumer.org, UN_Report, whoprofits.org","Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company., Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company., Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company., Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company., Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company., Airbnb offers rentals in illegal Israeli settlements built on stolen Palestinian land.
Global digital tourism company
A publicly traded American company operating an online vacation rental platform. The company offers listings in over 220 countries and regions globally. Airbnb offers listings of accommodation in illegal settlements on occupied Palestinian and Syrian land.
Online marketplace for lodging, primarily homestays for vacation rentals, and tourism activities
An online travel booking company.","Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land., Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land., Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land., Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land., Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land., Travel and Hospitality, Settlement Support
Loans, Underwriting, Bondholdings, Shareholdings
Listings in illegal settlements
Services and utilities supporting the maintenance and existence of settlements
Services to the Settlements
Offers rentals in illegal Israeli settlements built on stolen Palestinian land.","Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies, Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies, Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies, Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies, Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies, Travel and Hospitality, Tourism, Online Services and Platforms, Travel booking companies",Transportation & Travel
Airbus Se,Netherlands,afsc.org-Divestment,A Dutch multinational military and aerospace company whose helicopters are used to monitor the US-Mexico border,Borders,"Aerospace, Defense",Defense & Security
Ako Capital,United Kingdom,DBIO_investor_report,British investment management firm,"Bondholding, Shareholding",Insurance,Finance & Insurance
Albar Mimunit Services,Israel,whoprofits.org,"A publicly traded Israeli company in the automobile sector, dealing in car leasing, fleet operation, car sales, trade-in and car r",Services to the Settlements,"Service Industry and Retail, Transportation",Construction & Real Estate
Aldo,Canada,whoprofits.org,"The company is a fashion retailer operating under three brands: Aldo, Call It Spring and Globo. The company specializes in footwea","Services to the Settlements, Settlement Enterprise, Settlement Production",Service Industry and Retail,Construction & Real Estate
Alecta,Sweden,DBIO_investor_report,Swedish occupational pension fund,Shareholding,Pension Fund,Finance & Insurance
Algemeen Burgerlijk Pensioenfonds (Abp),Netherlands,DBIO_investor_report,Dutch pension fund,"Bondholding, Shareholding",Pension Fund,Finance & Insurance
All Trade Group,"Israel, Occupied Palestinian Territory",whoprofits.org,A private Israeli company that provides new and refurbished computing equipment and operates recycling facilities for various prod,"Population Control, Settlement Enterprise, Settlement Production, Specialized Equipment and Services","Hi-tech, Waste Management",Technology & Hi-tech
Allianz,Germany,DBIO_investor_report,German multinational financial services company,"Bondholding, Shareholding",Financial Services,Finance & Insurance
Almog Cday,Israel,whoprofits.org,"A private Israeli development and construction company.

The company constructed Almog Center, a commercial center in the settle",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Alon Blue Square Israel,Israel,UN_Report,Retail and real estate,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Retail,Consumer Goods & Retail
Alony-Hetz Properties & Investments,Israel,afsc.org-Divestment,An Israeli investment firm. Its subsidiary Energix Renewable Energy has projects in the occupied West Bank and Golan Heights. Its subsidiary Amot Investments owns an industrial building in the occupied West Bank,Occupations,Investment,Finance & Insurance
Alstom Sa,"France, France, France","afsc.org-Divestment, DBIO_Listed_Business, UN_Report","International energy and transportation company
Railway infrastructure
A French company operating in the railway sector. It participated in the construction of the Jerusalem Light Rail and Tel Aviv‚ÄìJerusalem railway, both of which cut through the occupied Palestinian territory, International energy and transportation company
Railway infrastructure
A French company operating in the railway sector. It participated in the construction of the Jerusalem Light Rail and Tel Aviv‚ÄìJerusalem railway, both of which cut through the occupied Palestinian territory, International energy and transportation company
Railway infrastructure
A French company operating in the railway sector. It participated in the construction of the Jerusalem Light Rail and Tel Aviv‚ÄìJerusalem railway, both of which cut through the occupied Palestinian territory","Loans, Underwriting, Bondholdings, Shareholdings
Services and utilities supporting the maintenance and existence of settlements; Use of natural resources
Occupations, Loans, Underwriting, Bondholdings, Shareholdings
Services and utilities supporting the maintenance and existence of settlements; Use of natural resources
Occupations, Loans, Underwriting, Bondholdings, Shareholdings
Services and utilities supporting the maintenance and existence of settlements; Use of natural resources
Occupations","Energy and Transportation, Infrastructure, Railway, Energy and Transportation, Infrastructure, Railway, Energy and Transportation, Infrastructure, Railway",Transportation & Travel
Altice Europe Nv,"Netherlands, Netherlands","UN_Report, afsc.org-Divestment","A Dutch multinational telecommunications company. Its Israeli subsidiary HOT has facilities in and provides telecommunication services to most illegal settlements in the occupied West Bank and Golan Heights, A Dutch multinational telecommunications company. Its Israeli subsidiary HOT has facilities in and provides telecommunication services to most illegal settlements in the occupied West Bank and Golan Heights","Occupations, Services and utilities supporting the maintenance and existence of settlements, Occupations, Services and utilities supporting the maintenance and existence of settlements","Telecommunications, Telecommunications",Technology & Hi-tech
Altice International,"Netherlands, Luxembourg","DBIO_Listed_Business, whoprofits.org","Multinational telecommunications company, Altice international is a multinational group specializing in telecoms, content, media, entertainment, and advertising headquarter, Multinational telecommunications company, Altice international is a multinational group specializing in telecoms, content, media, entertainment, and advertising headquarter","Israeli Construction on Occupied Land, Palestinian Captive Market, Private Security and Surveillance Technology, Services to the Settlements, Loans, Underwriting, Bondholdings, Israeli Construction on Occupied Land, Palestinian Captive Market, Private Security and Surveillance Technology, Services to the Settlements, Loans, Underwriting, Bondholdings","Telecommunications, Communication, Telecommunications, Communication",Technology & Hi-tech
Altoni Leather Spa,Italy,whoprofits.org,"Altoni Leather designs, produces and sells leather and fabric sofas, sofa beds and armchairs.

The company operates a shop in De","Israeli Construction on Occupied Land, Services to the Settlements",Industrial Manufacturing,Manufacturing & Industrial
Am General,"USA, USA","afsc.org-profiting, whoprofits.org","AM General is an American heavy vehicle and contract automotive manufacturer based in South Bend, Indiana., Manufactures vehicles for military use.

The company manufactures the HMMWV (military Hummer) off-road vehicle used by the Israe","Provides military vehicles to Israeli forces, Specialized Equipment and Services, The Wall and Checkpoints","Automotive, Defense, Heavy Machinery",Transportation & Travel
Amazon,"USA, United States","bdsmovement.net, boycott-israel.org","Amazon Web Services signed a $1.22 billion contract to provide cloud technology to the Israeli government and military., A multinational technology giant focusing on e-commerce, cloud computing, and various other sectors. Amazon has established data centers and offices in Israel. Project Nimbus is a collaboration between Google and Amazon to provide cloud services to the Israeli government and military, launched in 2021. While aimed at enhancing Israel's technological infrastructure, the project has faced criticism for potentially aiding surveillance and affecting Palestinian rights, raising ethical concerns.","Technology, Military Support, Project Nimbus, data centers in Israel","Technology, Online Services and Platforms",Technology & Hi-tech
"Amazon Web Services,",United States,ethicalconsumer.org,Provides cloud technology and services.,"Signed a $1.22 billion contract to provide cloud technology to the Israeli government and military, implicated in oppression.",Streaming Services,Technology & Hi-tech
American Israeli Gas Rporation,Israel,UN_Report,Distributor of gas in Israel,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Energy,Energy & Utilities
Amf Pensionsf√£¬∂Rs√£¬§Kring,Sweden,DBIO_investor_report,Swedish pension fund,Shareholding,Pension Fund,Finance & Insurance
Amir Marketing & Investments In Agriculture,"Israel, Israel, Israel","afsc.org-Divestment, whoprofits.org, UN_Report","An Israeli agricultural company that operates branches in two illegal settlements in the occupied West Bank, A publicly traded Israeli company that supplies, imports and markets agricultural products, and manufactures food blends for Farm , Agricultural marketing and investments","Occupations, Services to the Settlements, Settlement Production, Use of natural resources","Agriculture, Agriculture and Agrotechnology, Agriculture",Agriculture & Food
"Amisragas, American Israeli Gas Crop",Israel,whoprofits.org,"Gas manufacturer and supplier.

The company operates branches in the settlements of Ariel and Kiryat Arba&#39;a, both located in",Services to the Settlements,"Electricity, Gas and Water Supply",Energy & Utilities
Amnon Mesilot,Israel,UN_Report,Transportation services,Services and utilities supporting the maintenance and existence of settlements,Transportation,Transportation & Travel
Amos Hadar Properties And Investments (Hadar Group),"Israel, Israel","whoprofits.org, UN_Report","A construction and real estate group.

Its full subsidiary and construction executer, Kir Had, has constructed 11 housing projec, Real estate investments","Israeli Construction on Occupied Land, Use of natural resources","Construction, Real Estate",Manufacturing & Industrial
Amy Metom Engineers And Nsultants,Israel,whoprofits.org,"A private Israeli engineering consultancy firm specializing in infrastructure engineering, design and project management.

The c","Israeli Construction on Occupied Land, Services to the Settlements",Construction,Manufacturing & Industrial
Angel Bakeries,Israel,UN_Report,Bakery in Israel,Services and utilities supporting the maintenance and existence of settlements; Use of natural resources,Food and Beverage,Other
Angel Bakeries (Salomon A Angel),Israel,whoprofits.org,"A publicly traded Israeli manufacturer and supplier of bread and pastry products.

The company operates bakeries in various sett","Services to the Settlements, Settlement Production",Food Industry,Agriculture & Food
Anglo Saxon Real Estate Agency (Israel 1992),Israel,whoprofits.org,"A private Israeli network of real estate agencies with 80 branches.

The company operates branches in the settlements of Adam (G",Services to the Settlements,Real Estate,Construction & Real Estate
Anima,Italy,DBIO_investor_report,Italian asset management company,"Bondholding, Shareholding",Investment,Finance & Insurance
Anyvision Interactive Technologies (Oosto),Israel,whoprofits.org,A private Israeli company specializing in Artificial Intelligence based facial recognition technology and temperature detection fo,"Private Security and Surveillance Technology, The Wall and Checkpoints","Hi-tech, Military, Security and Surveillance",Technology & Hi-tech
Aqwise- Wise Water Technologies,Israel,whoprofits.org,"A global provider of biological wastewater treatment and reuse solutions, as well as water remediation technologies.

The compan",Settlement Production,"Electricity, Gas and Water Supply, Waste Management",Energy & Utilities
Aramark,USA,afsc.org-Divestment,"A US-based provider of food service, facility management services, and uniforms globally. Provides food and other logistical services to prisons and immigration detention facilities and uses forced prison labor","Borders, Prisons",Food Service,Agriculture & Food
Arava Export Growers,Israel,whoprofits.org,"A private Israeli company that exports vegetables, fruits, fresh herbs and dates and worldwide.

The company exports produce gro","Settlement Enterprise, Settlement Production",Agriculture and Agrotechnology,Agriculture & Food
Archivists,Israel,UN_Report,Archiving services,Use of natural resources,Services,Services & Miscellaneous
Ariel Properties Group,Israel,UN_Report,Real estate group,Services and utilities supporting the maintenance and existence of settlements,Real Estate,Construction & Real Estate
Aroma Espresso Bar,Israel,whoprofits.org,"A private Israeli chain of coffee shops. The company operates branches in the US, Canada, Cyprus, the Ukraine and Kazakhstan.

T",Services to the Settlements,"Food Industry, Service Industry and Retail",Agriculture & Food
Arza Winery Trz (Hayotzer Winery),Occupied Palestinian Territory,whoprofits.org,"A settlement-based Israeli winery. The winery also owns a Hayotzer Winery.

Arza Winery and Hayotzer Winery are based in the Mis",Settlement Production,"Agriculture and Agrotechnology, Food Industry",Agriculture & Food
Ashdar Building Mpany,Israel,whoprofits.org,"A construction company, which develops, builds and markets residential neighborhoods. Ashdar also rents office and industrial spac",Israeli Construction on Occupied Land,"Construction, Real Estate",Manufacturing & Industrial
Ashtrom Group,"France, Israel, Israel, Israel, Israel, Israel","DBIO_Listed_Business, whoprofits.org, afsc.org-Divestment, UN_Report, UN_Report, UN_Report","Largest Israeli construction and infrastructure company, Ashtrom is one of the largest Israeli construction and infrastructure companies, operating in the areas of contracting, franchisin, One of Israel's largest construction and real estate companies. It has constructed housing units and large-scale infrastructure in illegal Israeli settlements, as well as parts of Israel's separation wall. It also operates a quarry and concrete plant in the occupied West Bank, Construction and real estate, Industry and manufacturing, Property development","Loans, Underwriting, Bondholdings, Shareholdings, Exploitation of Occupied Production and Resources, Israeli Construction on Occupied Land, Settlement Production, Specialized Equipment and Services, The Wall and Checkpoints, Occupations, Use of natural resources, Use of natural resources, Use of natural resources","Construction, Construction, Construction, Real Estate, Construction, Manufacturing, Real Estate",Manufacturing & Industrial
Assaf Winery,Occupied Syrian Golan,whoprofits.org,"A boutique winery located in the settlement of Kidmat Zvi in the occupied Syrian Golan.

The winery owns 60 dunams of vineyards ",Settlement Production,"Agriculture and Agrotechnology, Food Industry, Tourism",Agriculture & Food
Atid Packaging,Occupied Palestinian Territory,whoprofits.org,"A private manufacturer of packages for the food and agricultural industries.

The offices of the companies are located in the se",Settlement Production,Industrial Manufacturing,Manufacturing & Industrial
Atlas P,Sweden,whoprofits.org,"A Swedish multinational company that provides solutions for all types of industries, ranging from industrial automation to medical","Israeli Construction on Occupied Land, Specialized Equipment and Services, The Wall and Checkpoints","Heavy Machinery, Industrial Manufacturing",Manufacturing & Industrial
Avgol Industries 1953,Israel,UN_Report,Nonwoven fabrics manufacturer,Use of natural resources,Manufacturing,Manufacturing & Industrial
Avi Cranes,Israel,whoprofits.org,A supplier of heavy lift services by renting and operating&nbsp;cranes and&nbsp;access equipment.&nbsp;Company cranes were used fo,"Israeli Construction on Occupied Land, Services to the Settlements, The Wall and Checkpoints","Construction, Heavy Machinery",Manufacturing & Industrial
Avisror Moshe & Sons,Israel,whoprofits.org,"A private Israeli construction and real estate company.

The company is involved in two construction projects in Har Homa settle",Israeli Construction on Occupied Land,"Construction, Real Estate",Manufacturing & Industrial
Aviva,United Kingdom,DBIO_investor_report,British multinational insurance company,"Bondholding, Shareholding",Insurance,Finance & Insurance
Avniv,Occupied Palestinian Territory,whoprofits.org,"A private Israeli grower, marketer and exporter of fruit and vegetables.

The company is located in the settlement of Netiv Hagd",Settlement Production,Agriculture and Agrotechnology,Agriculture & Food
Axa,"France, France, France","bdsmovement.net, boycott-israel.org, DBIO_investor_report","AXA invests in Israeli banks financing war crimes., A multinational insurance company, due to its investments in certain Israeli businesses and banks that are allegedly involved in activities related to the Israel-Palestine conflict. Boycott supporters believe that AXAís investments indirectly contribute to violations of international law and human rights abuses against Palestinians, French multinational insurance firm","Financial Support, Investments in businesses involved in conflict, Bondholding, Shareholding","Financial Services, Banking, Insurance",Finance & Insurance
Axa Group,France,ethicalconsumer.org,Provides insurance services.,Invests in Israeli banks financing war crimes and the theft of Palestinian land and natural resources.,Ethical Car Insurance,Finance & Insurance
Axon Enterprise,USA,afsc.org-profiting,Axon Enterprise is a technology company that develops conducted electrical weapons.,Provided stun guns and body cameras to Israeli forces,Defense,Defense & Security
B Mmunications,"Israel, Israel","whoprofits.org, afsc.org-Divestment","B Communications is a holding company with a single asset: the controlling interest (approx. 26.34%) in&nbsp;Bezeq&nbsp;the Israel, An Israeli holding company with a controlling interest in Bezeq, Israel's largest telecommunications provider, which has infrastructure throughout the occupied West Bank and Golan Heights and provides telecommunication services to illegal Israeli settlements, military bases, and checkpoints","Israeli Construction on Occupied Land, Palestinian Captive Market, Services to the Settlements, Occupations","Communication, Telecommunications","Technology & Hi-tech, Technology & Hi-tech"
B Gaon Holdings,Israel,whoprofits.org,"A publicly traded Israeli holdings corporation specializing in water and gas distribution, sewage treatment, desalination and fire","Israeli Construction on Occupied Land, Services to the Settlements, Settlement Enterprise","Electricity, Gas and Water Supply",Energy & Utilities
B Yair Building Rporation,Israel,whoprofits.org,"The company specializes in the construction, development, design and marketing of real estate projects.

In the occupied West Ba",Israeli Construction on Occupied Land,Construction,Manufacturing & Industrial
Bdth Israel Solar Energy,0,whoprofits.org,"Founded in 2010, the company constructs and installs commercial and residential solar fields.

In September 2018, the company wo","Israeli Construction on Occupied Land, Palestinian Captive Market, Services to the Settlements, Settlement Production","Electricity, Gas and Water Supply, Renewable Energy",Energy & Utilities
Bg Ilanit Gates And Urban Elements,Occupied Palestinian Territory,whoprofits.org,"A&nbsp;manufacturer and&nbsp;provider of perimeter security products including:&nbsp;security gates,&nbsp;bollards,&nbsp;biometric","Settlement Production, Specialized Equipment and Services, The Wall and Checkpoints","Military, Security and Surveillance",Defense & Security
Bae Systems,UK,afsc.org-profiting,"BAE Systems is a British multinational defense, security, and aerospace company.",Supplies military equipment and services to Israeli forces,Defense,Defense & Security
Bae Systems Plc,UK,afsc.org-Divestment,"The world's seventh-largest military contractor, which manufactures multiple weapon systems routinely used in war crimes against Palestinians",Occupations,Defense,Defense & Security
Baillie Gifford,United Kingdom,DBIO_investor_report,British investment management firm,"Bondholding, Shareholding",Investment,Finance & Insurance
Ban Bilbao Vizcaya Argentaria (Bbva),Spain,DBIO_creditor_report,Spanish multinational financial services company,Loans and underwriting services,Financial Services,Finance & Insurance
Ban De Sabadell,Spain,DBIO_creditor_report,Spanish banking group,Loans,Financial Services,Finance & Insurance
Ban Mediolanum,Italy,DBIO_investor_report,Italian banking group,"Bondholding, Shareholding",Investment,Finance & Insurance
Bank Hapoalim Bm,"Israel, Israel, Israel","DBIO_Listed_Business, UN_Report, afsc.org-Divestment","Israeli bank, Banking services, One of Israel's largest banks, which is deeply involved in the expansion of Israel's illegal settlements in the occupied West Bank and Golan Heights","Underwriting, Bondholdings, Shareholdings, Banking and financial operations helping to develop, expand or maintain settlements and their activities, Occupations","Banking, Banking, Banking",Finance & Insurance
Bank Leumi,Israel,DBIO_Listed_Business,Israeli bank,"Underwriting, Bondholdings, Shareholdings",Banking,Finance & Insurance
